Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Global_Sales,NA_Sales,PAL_Sales,JP_Sales
1493,Mafia II,mafia-ii,Action,PS3,2K Games,Illusion Softworks,2010,1.49,0.5,0.7,0.04
1494,Dead Rising 2,dead-rising-2,Action,X360,Capcom,Blue Castle Games,2010,1.49,0.75,0.53,0.09
1499,Resistance 3,resistance-3,Shooter,PS3,Sony Computer Entertainment,Insomniac Games,2011,1.49,0.64,0.57,0.05
1504,Tom Clancy's Ghost Recon: Future Soldier,tom-clancys-ghost-recon-future-soldier,Shooter,X360,Ubisoft,Ubisoft Paris,2012,1.48,0.94,0.4,0.02
1516,WWF WrestleMania 2000,wwf-wrestlemania-2000,Fighting,N64,THQ,Aki Corporation,1999,1.48,1.2,0.25,0.02
1519,007: Quantum of Solace,007-quantum-of-solace,Shooter,X360,Activision,Treyarch,2008,1.48,0.82,0.51,0.01
1522,Assassin's Creed III: Liberation,assassins-creed-iii-liberation,Adventure,PSV,Ubisoft,Ubisoft,2012,1.48,0.53,0.57,0.06
1529,Minecraft,minecraft,Misc,WiiU,Mojang,4J Studios,2016,1.47,0.5,0.49,0.38
1530,Dying Light,dying-light,Action,XOne,Warner Bros. Interactive Entertainment,Techland,2016,1.47,1.01,0.31,0.01
1531,Fight Night Round 3,fight-night-round-3,Fighting,X360,EA Sports,EA Chicago,2006,1.47,1.33,0.03,0.01
1532,Ryse: Son of Rome,ryse-son-of-rome,Action,XOne,Microsoft Studios,Crytek,2013,1.47,0.84,0.49,0.0
1535,Forza Horizon 2,forza-horizon-2,Racing,XOne,Microsoft Studios,Playground Games,2014,1.46,0.56,0.79,0.01
1538,Super Monkey Ball,super-monkey-ball,Puzzle,GC,Sega,Amusement Vision,2001,1.46,0.95,0.37,0.1
1539,Wall-E,wall-e,Platform,DS,THQ,Heavy Iron Studios,2008,1.46,0.46,0.82,0.0
1541,Resident Evil 4: Wii Edition,resident-evil-4-wii-edition,Action,Wii,Capcom,Capcom Production Studio 4,2007,1.46,1.26,0.06,0.14
1544,Dragon Ball FighterZ,dragon-ball-fighterz,Fighting,PS4,Namco Bandai Games,Arc System Works,2018,1.46,0.61,0.51,0.12
1545,WCW vs the World,wcw-vs-the-world,Fighting,PS,THQ,Aki Corp.,1998,1.46,1.17,0.2,0.04
1546,Mass Effect 3,mass-effect-3,Role-Playing,PS3,Electronic Arts,BioWare,2012,1.46,0.65,0.58,0.03
1547,Battlefield: Bad Company,battlefield-bad-company,Shooter,X360,Electronic Arts,EA Digital Illusions CE,2008,1.46,0.81,0.46,0.04
1548,Mass Effect 2,mass-effect-2,Role-Playing,PS3,Electronic Arts,BioWare Edmonton,2011,1.46,0.78,0.46,0.03
1549,Homefront,homefront,Shooter,X360,THQ,Kaos Studios,2011,1.46,0.83,0.48,0.02
1555,Namco Museum 64,namco-museum-64,Misc,N64,Namco,Mass Media,1999,1.45,1.24,0.17,0.03
1563,The House of the Dead 2 & 3 Return,the-house-of-the-dead-2-amp-3-return,Shooter,Wii,Sega,Sega,2008,1.45,0.77,0.5,0.03
1565,BioShock,bioshock,Shooter,PS3,2K Games,2K Boston / 2K Australia / 2K Marin,2008,1.44,0.75,0.48,0.01
1575,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,X360,THQ,Yuke's Media Creations,2007,1.43,0.92,0.38,0.0
1578,Kinect Joy Ride,kinect-joy-ride,Racing,X360,Microsoft Game Studios,Big Park,2010,1.43,0.92,0.39,0.0
1587,Middle-Earth: Shadow of Mordor,middle-earth-shadow-of-mordor,Action,XOne,Warner Bros. Interactive Entertainment,Monolith Productions,2014,1.42,0.77,0.52,0.01
1596,Medal of Honor: Warfighter,medal-of-honor-warfighter,Shooter,PS3,Electronic Arts,Danger Close Games,2012,1.42,0.49,0.64,0.06
1597,UFC Undisputed 2010,ufc-undisputed-2010,Fighting,PS3,THQ,Yuke's Future Media Creators,2010,1.42,0.8,0.4,0.02
1598,Rayman Raving Rabbids,rayman-raving-rabbids,Misc,Wii,Ubisoft,Ubisoft Montpellier,2006,1.42,1.22,0.07,0.02
1606,The Lion King,the-lion-king,Action,GEN,Virgin Interactive,Westwood Studios,1994,1.41,0.97,0.37,0.03
1608,Ridge Racer,ridge-racer,Racing,PSP,Namco,Namco,2005,1.41,0.36,0.45,0.32
1615,Need for Speed: Undercover,need-for-speed-undercover,Racing,PS2,Electronic Arts,EA Vancouver,2008,1.4,0.38,0.08,0.03
1618,Sonic Advance 3,sonic-advance-3,Platform,GBA,THQ,Dimps Corporation / Sonic Team,2004,1.4,0.74,0.52,0.08
1627,Colin McRae Rally 3,colin-mcrae-rally-3,Racing,PS2,Codemasters,Codemasters,2003,1.4,0.03,1.05,0.02
1631,The Sims 4,the-sims-4,Simulation,PS4,Electronic Arts,Maxis,2017,1.39,0.44,0.72,0.01
1632,Street Fighter V,street-fighter-v,Fighting,PS4,Capcom,Capcom,2016,1.39,0.64,0.42,0.12
1635,Sonic Generations,sonic-generations,Platform,X360,Sega,Sonic Team,2011,1.39,0.71,0.54,0.0
1638,Teenage Mutant Ninja Turtles III: The Manhattan Project,teenage-mutant-ninja-turtles-iii-the-manhattan-project,Action,NES,Konami,Konami,1992,1.39,1.05,0.17,0.15
1643,Far Cry 2,far-cry-2,Shooter,PS3,Ubisoft,Ubisoft Montreal,2008,1.38,0.43,0.69,0.01
1645,Deus Ex: Human Revolution,deus-ex-human-revolution,Shooter,X360,Square Enix,Eidos Montreal,2011,1.38,0.77,0.47,0.02
1648,Deus Ex: Human Revolution,deus-ex-human-revolution,Shooter,PS3,Square Enix,Eidos Montreal,2011,1.38,0.5,0.6,0.07
1651,Titanfall,titanfall,Shooter,X360,Electronic Arts,Respawn Entertainment,2014,1.38,0.88,0.35,0.02
1654,LittleBigPlanet PS Vita,littlebigplanet-ps-vita,Platform,PSV,Sony Computer Entertainment,Media Molecule,2012,1.38,0.36,0.69,0.02
1658,Crysis 2,crysis-2,Shooter,X360,Electronic Arts,Crytek,2011,1.37,0.73,0.5,0.02
1660,Dead Rising 2,dead-rising-2,Action,PS3,Capcom,Blue Castle Games,2010,1.37,0.43,0.57,0.15
1669,NBA 2K15,nba-2k15,Sports,PS3,2K Sports,Visual Concepts,2014,1.37,0.89,0.22,0.02
1670,Ridge Racer 7,ridge-racer-7,Racing,PS3,Namco Bandai,Namco Bandai,2006,1.37,0.24,0.7,0.16
1671,Need for Speed: The Run,need-for-speed-the-run,Racing,X360,Electronic Arts,EA Black Box,2011,1.37,0.63,0.57,0.0
1673,GoldenEye 007,goldeneye-007,Shooter,Wii,Activision,Eurocom Entertainment Software,2010,1.36,0.76,0.6,0.0
1676,Wolfenstein II: The New Colossus,wolfenstein-ii-the-new-colossus,Shooter,PS4,Bethesda Softworks,MachineGames,2017,1.36,0.55,0.58,0.01
1678,Gradius,gradius,Shooter,NES,Konami,Konami,1986,1.36,0.27,0.08,1.0
1680,Gardening Mama,gardening-mama,Puzzle,DS,Majesco,Taito Corporation,2009,1.36,0.79,0.42,0.01
1683,Marvel vs. Capcom 3: Fate of Two Worlds,marvel-vs-capcom-3-fate-of-two-worlds,Fighting,PS3,Capcom,Capcom,2011,1.36,0.81,0.28,0.11
1684,FIFA 17,fifa-17,Sports,PS3,Electronic Arts,EA Canada,2016,1.36,0.14,0.98,0.04
1685,Metroid: Other M,metroid-other-m,Action,Wii,Nintendo,Nintendo SPD Production Group 1/Team Ninja,2010,1.36,0.85,0.28,0.13
1691,Burnout Paradise,burnout-paradise,Racing,X360,Electronic Arts,Criterion,2008,1.35,0.63,0.57,0.01
1700,FIFA Soccer 09,fifa-soccer-09,Sports,PSP,EA Sports,EA Canada,2008,1.35,0.23,0.73,0.02
1703,FIFA Soccer 08,fifa-soccer-08,Sports,X360,EA Sports,EA Canada,2007,1.35,0.31,0.89,0.01
1704,Test Drive,test-drive,Racing,PS2,Atari,Pitbull Syndicate,2002,1.34,0.95,0.21,0.01
1705,Tom Clancy's Rainbow Six: Vegas 2,tom-clancys-rainbow-six-vegas-2,Shooter,PS3,Ubisoft,Ubisoft Montreal,2008,1.34,0.66,0.45,0.04
1706,Devil May Cry 4,devil-may-cry-4,Action,X360,Capcom,Capcom,2008,1.34,0.79,0.34,0.08
1707,F1 2010,f1-2010,Racing,PS3,Codemasters,Codemasters Birmingham,2010,1.34,0.25,0.75,0.08
1710,The ICO & Shadow of the Colossus Collection,the-ico-amp-shadow-of-the-colossus-collection,Adventure,PS3,Sony Computer Entertainment,Bluepoint Games,2011,1.34,0.67,0.36,0.13
1711,Donkey Kong Jungle Beat,donkey-kong-jungle-beat,Platform,GC,Nintendo,Nintendo EAD Tokyo,2005,1.34,0.84,0.22,0.24
1712,Need for Speed Carbon,need-for-speed-carbon,Racing,PS2,Electronic Arts,EA Black Box,2006,1.34,1.22,0.05,0.05
1713,Battlefield: Bad Company,battlefield-bad-company,Shooter,PS3,Electronic Arts,EA Digital Illusions CE,2008,1.34,0.76,0.36,0.05
1719,Crysis 2,crysis-2,Shooter,PS3,Electronic Arts,Crytek,2011,1.33,0.48,0.57,0.06
1720,Saints Row IV,saints-row-iv,Action,PS3,Deep Silver,Volition Inc.,2013,1.33,0.58,0.45,0.09
1721,Alan Wake,alan-wake,Action,X360,Microsoft Game Studios,Remedy Entertainment,2010,1.33,0.66,0.5,0.05
1722,Spider-Man: The Movie,spider-man-the-movie,Platform,GBA,Activision,Digital Eclipse,2002,1.33,0.92,0.35,0.01
1727,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,GB,Activision,Natsume,2000,1.33,0.9,0.38,0.01
1732,Grand Theft Auto: Chinatown Wars,grand-theft-auto-chinatown-wars,Adventure,DS,Rockstar Games,Rockstar Leeds/North,2009,1.33,0.58,0.56,0.05
1733,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,PS3,THQ,Yuke's Media Creations,2007,1.33,0.62,0.5,0.01
1735,UFC Undisputed 2010,ufc-undisputed-2010,Fighting,X360,THQ,Yuke's Future Media Creators,2010,1.32,0.9,0.31,0.0
1736,Fallout 76,fallout-76,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,2018,1.32,0.52,0.49,0.1
1737,Need for Speed Underground Rivals,need-for-speed-underground-rivals,Racing,PSP,Electronic Arts,Team Fusion,2005,1.32,0.69,0.38,0.02
1739,TOCA 2 Touring Car Championship,toca-2-touring-car-championship,Racing,PS,Codemasters,Codemasters,1999,1.32,0.03,1.16,0.02
1741,MAG: Massive Action Game,mag-massive-action-game,Shooter,PS3,Sony Computer Entertainment,Zipper Interactive,2010,1.32,0.77,0.3,0.09
1747,Rage,rage,Shooter,PS3,Bethesda Softworks,id Software,2011,1.32,0.47,0.59,0.06
1753,Lego Star Wars: The Force Awakens,lego-star-wars-the-force-awakens,Action-Adventure,PS4,Warner Bros. Interactive Entertainment,TT Fusion,2016,1.31,0.3,0.78,0.02
1766,NBA Live 07,nba-live-07,Sports,PS2,EA Sports,EA Canada,2006,1.3,1.07,0.04,0.02
1781,Assassin's Creed: Rogue,assassins-creed-rogue,Action,PS3,Ubisoft,Ubisoft Sofia,2014,1.3,0.46,0.57,0.07
1783,Digimon World,digimon-world,Role-Playing,PS,Bandai,Bandai,2000,1.3,0.56,0.38,0.28
1785,High School Musical 3: Senior Year DANCE!,high-school-musical-3-senior-year-dance,Misc,Wii,Disney Interactive Studios,Page 44 Studios,2008,1.29,0.67,0.49,0.0
1786,The Last Guardian,the-last-guardian,Action-Adventure,PS4,Sony Interactive Entertainment,SIE Japan Studio,2016,1.29,0.4,0.58,0.13
1788,Mega Man Battle Network 3 Blue / White Version,mega-man-battle-network-3-blue,Role-Playing,GBA,Capcom,Capcom,2003,1.29,0.39,0.02,0.85
1789,Watch Dogs,watch-dogs,Action-Adventure,X360,Ubisoft,Ubisoft Montreal,2014,1.29,0.73,0.44,0.01
1790,Dark Souls II,dark-souls-ii,Role-Playing,PS3,Namco Bandai Games,From Software,2015,1.29,0.38,0.35,0.41
1797,Gold's Gym: Cardio Workout,golds-gym-cardio-workout,Sports,Wii,Ubisoft,Rocket Company,2009,1.29,1.1,0.04,0.06
1799,Borderlands: The Handsome Collection,borderlands-the-handsome-collection,Shooter,PS4,2K Games,Gearbox Software,2015,1.28,0.69,0.34,0.03
1801,Project CARS,project-cars,Racing,PS4,Bandai Namco Games,Slightly Mad Studios,2015,1.28,0.29,0.76,0.04
1804,Need for Speed Carbon,need-for-speed-carbon,Racing,Wii,Electronic Arts,EA Black Box,2006,1.28,0.45,0.66,0.02
1806,Injustice: Gods Among Us,injustice-gods-among-us,Fighting,PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,2013,1.28,0.5,0.56,0.01
1814,Castlevania: Symphony of the Night,castlevania-symphony-of-the-night,Platform,PS,Konami,Konami Computer Entertainment Tokyo,1997,1.27,0.58,0.4,0.21
1819,WWE '12,wwe-12,Fighting,X360,THQ,"Yuke's Co., Ltd.",2011,1.27,0.74,0.4,0.0
1826,.hack//Infection Part 1,.hack,Role-Playing,PS2,Bandai,CyberConnect2,2003,1.27,0.49,0.38,0.26
1828,Need for Speed Rivals,need-for-speed-rivals,Racing,PS3,Electronic Arts,Ghost Games,2013,1.27,0.33,0.69,0.05
1831,Battle Arena Toshinden,battle-arena-toshinden,Fighting,PS,Sony Computer Entertainment,Tamsoft,1995,1.27,0.39,0.26,0.53
1833,Devil Dice,devil-dice,Puzzle,PS,THQ,Shift,1998,1.26,0.05,0.03,1.1
1835,Hyrule Warriors,hyrule-warriors,Misc,WiiU,Nintendo,Omega Force,2014,1.26,0.59,0.44,0.13
1836,Brian Lara Cricket,brian-lara-cricket,Sports,PS,Codemasters,Codemasters,1998,1.26,0.02,1.13,0.01
1838,Tomb Raider: Underworld,tomb-raider-underworld,Adventure,PS3,Eidos Interactive,Crystal Dynamics,2008,1.26,0.45,0.55,0.05
1841,SOCOM: U.S. Navy SEALs Confrontation,socom-us-navy-seals-confrontation,Shooter,PS3,Sony Computer Entertainment,Slant Six Games,2008,1.26,0.94,0.17,0.02
1842,Far Cry 4,far-cry-4,Shooter,PS3,Ubisoft,Ubisoft Montreal,2014,1.26,0.35,0.63,0.09
1844,Assassin's Creed: Bloodlines,assassins-creed-bloodlines,Action,PSP,Ubisoft,Griptonite Studio,2009,1.26,0.43,0.5,0.05
1846,Persona 4 Golden,persona-4-golden,Role-Playing,PSV,Atlus,Atlus,2012,1.25,0.37,0.29,0.39
1847,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,Action,PS2,LucasArts,Krome Studios,2008,1.25,0.49,0.0,0.01
1856,Reel Fishing,reel-fishing,Sports,PS,Natsume,Pack-In Video,1998,1.25,0.99,0.13,0.1
1857,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,X360,Electronic Arts,Electronic Arts,2005,1.25,1.0,0.13,0.02
1858,Tom Clancy's Rainbow Six: Vegas,tom-clancys-rainbow-six-vegas,Shooter,PS3,Ubisoft,Ubisoft,2007,1.25,0.47,0.53,0.03
1859,Black,black,Shooter,PS2,Electronic Arts,Criterion Games,2006,1.25,1.01,0.04,0.03
1865,Cars 2,cars-2,Racing,DS,Disney Interactive Studios,Avalanche Software,2011,1.25,0.68,0.41,0.04
1868,Ratchet: Deadlocked,ratchet-deadlocked,Shooter,PS2,Sony Computer Entertainment,Insomniac Games,2005,1.24,0.85,0.03,0.22
1872,Ridge Racer V,ridge-racer-v,Racing,PS2,Namco,Namco,2000,1.24,0.24,0.19,0.75
1873,Battlefield: Hardline,battlefield-hardline,Shooter,XOne,Electronic Arts,EA DICE,2015,1.24,0.73,0.39,0.01
1880,Need for Speed Carbon,need-for-speed-carbon,Racing,PS3,Electronic Arts,EA Black Box,2006,1.24,0.49,0.51,0.03
1887,2010 FIFA World Cup South Africa,2010-fifa-world-cup-south-africa,Sports,PS3,EA Sports,EA Canada,2010,1.23,0.3,0.64,0.07
1891,Castlevania,castlevania,Platform,NES,Konami,Konami,1987,1.23,0.54,0.06,0.62
1894,Donkey Kong Country 2,donkey-kong-country-2,Platform,GBA,Nintendo,Rare Ltd.,2004,1.23,0.79,0.27,0.12
1896,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,PSP,LucasArts,Savage Entertainment,2005,1.22,1.05,0.06,0.01
1897,Intelligent Qube,intelligent-qube,Puzzle,PS,Sony Computer Entertainment,Sony Computer Entertainment,1997,1.22,0.13,0.07,1.0
1901,Pac-Man,pac-man,Puzzle,NES,Namco,Namco,1993,1.22,0.27,0.08,0.85
1903,Parfait: Chocolat Second Style,parfait-chocolat-second-style,Adventure,PS2,Alchemist,Alchemist,2006,1.22,0.59,0.46,0.01
1909,NBA 2K2,nba-2k2,Sports,PS2,Sega,Visual Concepts,2002,1.22,0.59,0.46,0.01
1915,Medal of Honor: Airborne,medal-of-honor-airborne,Shooter,PS3,Electronic Arts,EA Los Angeles,2007,1.21,0.25,0.7,0.03
1916,Bayonetta,bayonetta,Action,PS3,Sega,PlatinumGames,2010,1.21,0.44,0.4,0.21
1919,Star Wars Episode 1: Jedi Power Battles,star-wars-episode-1-jedi-power-battles,Action,PS,LucasArts,LucasArts,2000,1.21,0.66,0.48,0.01
1922,Need for Speed Underground,need-for-speed-underground,Racing,GC,Electronic Arts,EA Black Box,2003,1.21,0.69,0.48,0.01
1925,Boom Blox,boom-blox,Puzzle,Wii,Electronic Arts,EA Los Angeles,2008,1.21,0.71,0.38,0.0
1927,FIFA Soccer 11,fifa-soccer-11,Sports,PSP,EA Sports,HB Studios,2010,1.21,0.13,0.7,0.01
1930,World Soccer Winning Eleven 9 (JP & Others sales),world-soccer-winning-eleven-9-jp-amp-others-sales,Sports,PSP,Konami,Konami Computer Entertainment Tokyo,2006,1.2,0.01,0.88,0.31
1933,F1 2011,f1-2011,Racing,PS3,Codemasters,Codemasters Birmingham,2011,1.2,0.12,0.75,0.11
1934,Metal Gear Solid V: Ground Zeroes,metal-gear-solid-v-ground-zeroes,Action-Adventure,PS4,Konami Digital Entertainment,Kojima Productions,2014,1.2,0.36,0.5,0.17
1936,Mad Max (2013),mad-max-2013,Action,PS4,Warner Bros. Interactive Entertainment,Avalanche Studios,2015,1.2,0.38,0.59,0.05
1956,Enter the Matrix,enter-the-matrix,Action,XB,Atari,Shiny Entertainment,2003,1.2,0.72,0.43,0.01
1958,Shadow of the Colossus,shadow-of-the-colossus,Action-Adventure,PS4,Sony Interactive Entertainment,Bluepoint Games,2018,1.2,0.44,0.52,0.05
1961,Mario & Sonic at the London 2012 Olympic Games,mario-amp-sonic-at-the-london-2012-olympic-games,Sports,3DS,Sega,Sega,2012,1.19,0.18,0.66,0.27
1964,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,Wii,Konami,Konami,2008,1.19,0.09,0.84,0.11
1966,Metal Gear Solid: Portable Ops,metal-gear-solid-portable-ops,Action,PSP,Konami,Kojima Productions,2006,1.19,0.38,0.35,0.38
1974,Spider-Man: The Movie,spider-man-the-movie,Action,GC,Activision,Treyarch,2002,1.19,0.86,0.27,0.01
1976,Final Fantasy I & II: Dawn of Souls,final-fantasy-i-amp-ii-dawn-of-souls,Role-Playing,GBA,Nintendo,Square Enix,2004,1.19,0.64,0.24,0.29
1987,Resident Evil: Operation Raccoon City,resident-evil-operation-raccoon-city,Shooter,PS3,Capcom,Slant Six Games,2012,1.18,0.48,0.24,0.36
1989,LEGO Jurassic World,lego-jurassic-world,Action,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,2015,1.18,0.41,0.56,0.02
1991,Medal of Honor: Warfighter,medal-of-honor-warfighter,Shooter,X360,Electronic Arts,Danger Close Games,2012,1.18,0.61,0.46,0.01
1992,Red Dead Redemption: Undead Nightmare,red-dead-redemption-undead-nightmare,Action,PS3,Rockstar Games,Rockstar San Diego,2010,1.18,0.47,0.45,0.06
1993,WWE '12,wwe-12,Fighting,PS3,THQ,"Yuke's Co., Ltd.",2011,1.18,0.53,0.45,0.02
1998,Mission: Impossible,mission-impossible,Action,N64,Ocean,Infogrames,1998,1.17,0.74,0.38,0.02
2000,WWE SmackDown vs. Raw 2010,wwe-smackdown-vs-raw-2010,Fighting,PS3,THQ,JAKKS Pacific,2009,1.17,0.48,0.48,0.01
2002,Army of Two,army-of-two,Shooter,PS3,Electronic Arts,EA Montreal,2008,1.17,0.74,0.26,0.02
2003,Rage Racer,rage-racer,Racing,PS,Namco,Namco,1997,1.17,0.16,0.11,0.83
2006,Sunset Overdrive,sunset-overdrive,Action,XOne,Microsoft Studios,Insomniac Games,2014,1.16,0.64,0.42,0.0
2010,Bushido Blade,bushido-blade,Fighting,PS,Sony Computer Entertainment,Light Weight,1997,1.16,0.39,0.27,0.43
2013,Mirror's Edge,mirrors-edge,Platform,X360,Electronic Arts,EA Digital Illusions CE,2008,1.16,0.51,0.51,0.01
2019,Sega Rally Championship,sega-rally-championship,Racing,SAT,Sega,Sega-AM3,1995,1.16,0.21,0.16,0.77
2023,Medal of Honor Heroes 2,medal-of-honor-heroes-2,Shooter,PSP,Electronic Arts,Team Fusion,2007,1.16,0.5,0.39,0.02
2025,FIFA Soccer 10,fifa-soccer-10,Sports,PSP,EA Sports,EA Canada,2009,1.16,0.16,0.68,0.01
2030,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,NS,Bethesda Softworks,Bethesda Softworks,2017,1.15,0.67,0.32,0.06
2035,Dragon Quest VIII: Journey of the Cursed King,dragon-quest-viii-journey-of-the-cursed-king,Role-Playing,3DS,Nintendo,Level 5 / Armor Project,2017,1.15,0.14,0.11,0.88
2036,Ratchet & Clank: All 4 One,ratchet-amp-clank-all-4-one,Platform,PS3,Sony Computer Entertainment,Insomniac Games,2011,1.15,0.75,0.22,0.05
2053,007: Quantum of Solace,007-quantum-of-solace,Shooter,PS3,Activision,Treyarch,2008,1.14,0.43,0.51,0.02
2056,Tenchu: Wrath of Heaven,tenchu-wrath-of-heaven,Action,PS2,Activision,K2 LLC,2003,1.14,0.44,0.34,0.25
2057,Shadow of the Colossus,shadow-of-the-colossus,Adventure,PS2,Sony Computer Entertainment,Team ICO,2005,1.14,0.78,0.03,0.2
2058,Brave Fencer Musashi,brave-fencer-musashi,Role-Playing,PS,Square,SquareSoft,1998,1.14,0.25,0.17,0.65
2061,Hot Shots Golf: Out of Bounds,hot-shots-golf-out-of-bounds,Sports,PS3,Sony Computer Entertainment,Clap Hanz,2008,1.14,0.31,0.03,0.76
2071,Final Fantasy XV,final-fantasy-xv,Role-Playing,XOne,Square Enix,Square Enix,2016,1.14,0.72,0.3,0.01
2074,LEGO Worlds,lego-worlds,Misc,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,2017,1.14,0.21,0.72,0.04
2076,Mobile Suit Gundam: Federation vs. Zeon,mobile-suit-gundam-federation-vs-zeon,Simulation,PS2,Bandai,Bandai,2002,1.14,0.12,0.1,0.88
2077,Need for Speed Underground 2,need-for-speed-underground-2,Racing,GC,Electronic Arts,EA Black Box,2004,1.14,0.7,0.39,0.01
2082,Mirror's Edge,mirrors-edge,Platform,PS3,Electronic Arts,EA Digital Illusions CE,2008,1.13,0.31,0.59,0.02
2083,Rocksmith,rocksmith,Misc,X360,Ubisoft,Ubisoft,2011,1.13,0.85,0.19,0.01
2084,Plants vs Zombies: Garden Warfare,plants-vs-zombies-garden-warfare,Shooter,X360,Electronic Arts,PopCap Games,2014,1.13,0.54,0.5,0.0
2086,The Elder Scrolls V: Skyrim VR,the-elder-scrolls-v-skyrim-vr,Role-Playing,PS4,Bethesda Softworks,Bethesda Softworks,2017,1.13,0.47,0.47,0.01
2091,Rocksmith,rocksmith,Misc,PS3,Ubisoft,Ubisoft,2011,1.13,0.53,0.38,0.09
2096,ModNation Racers,modnation-racers,Racing,PS3,Sony Computer Entertainment,United Front Games,2010,1.13,0.5,0.4,0.06
2099,SOCOM: U.S. Navy SEALs Fireteam Bravo,socom-us-navy-seals-fireteam-bravo,Shooter,PSP,Sony Computer Entertainment,Zipper Interactive,2005,1.12,1.03,0.0,0.01
2109,Need for Speed: Most Wanted (2012),need-for-speed-most-wanted-2012,Racing,PSV,Electronic Arts,Criterion Games,2012,1.12,0.33,0.53,0.01
2114,Dragon Age II,dragon-age-ii,Role-Playing,X360,Electronic Arts,BioWare Corp.,2011,1.12,0.72,0.29,0.01
2117,Crackdown 2,crackdown-2,Shooter,X360,Microsoft Game Studios,Ruffian Games,2010,1.12,0.63,0.36,0.02
2118,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,NS,Activision,Toys for Bob,2018,1.11,0.44,0.57,0.02
2120,Transformers: The Game,transformers-the-game,Action,PS2,Activision,Traveller's Tales,2007,1.11,0.63,0.37,0.0
2121,LEGO Marvel Super Heroes 2,lego-marvel-super-heroes-2,Action,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,2017,1.11,0.33,0.6,0.0
2123,Castlevania: Lords of Shadow,castlevania-lords-of-shadow,Action,PS3,Konami,Mercury Steam,2010,1.11,0.5,0.37,0.1
2134,Red Dead Redemption: Undead Nightmare,red-dead-redemption-undead-nightmare,Action,X360,Rockstar Games,Rockstar San Diego,2010,1.11,0.61,0.38,0.02
2136,EA Sports UFC,ea-sports-ufc,Fighting,PS4,Electronic Arts,EA Canada,2014,1.11,0.49,0.43,0.01
2166,FIFA 18,fifa-18,Sports,NS,EA Sports,EA Vancouver,2017,1.1,0.35,0.55,0.13
2167,GRID,grid,Racing,PS3,Codemasters,Codemasters,2008,1.1,0.31,0.57,0.03
2168,NBA Live 2001,nba-live-2001,Sports,PS2,EA Sports,EA Canada,2001,1.1,0.52,0.4,0.04
2171,Tales of Symphonia,tales-of-symphonia,Role-Playing,GC,Namco,Namco Tales Studio,2004,1.1,0.54,0.21,0.31
2176,Medal of Honor: Airborne,medal-of-honor-airborne,Shooter,X360,Electronic Arts,EA Los Angeles,2007,1.1,0.45,0.52,0.01
2177,Star Ocean: The Second Story,star-ocean-the-second-story,Role-Playing,PS,Sony Computer Entertainment,tri-Ace,1999,1.1,0.26,0.1,0.72
2180,Untold Legends: Brotherhood of the Blade,untold-legends-brotherhood-of-the-blade,Role-Playing,PSP,Sony Online Entertainment,Sony Online Entertainment,2005,1.09,0.54,0.33,0.01
2182,Lightning Returns: Final Fantasy XIII,lightning-returns-final-fantasy-xiii,Misc,PS3,Square Enix,Unknown,2014,1.09,0.31,0.22,0.45
2185,WWE SmackDown vs. Raw 2011,wwe-smackdown-vs-raw-2011,Fighting,PS3,THQ,JAKKS Pacific,2010,1.09,0.44,0.46,0.01
2192,Bully: Scholarship Edition,bully-scholarship-edition,Action,X360,Rockstar Games,Rockstar Vancouver/Mad Doc Software,2008,1.09,0.53,0.42,0.03
2194,The Godfather,the-godfather,Action,PS2,Electronic Arts,Headgate,2006,1.09,0.89,0.03,0.01
2195,Alien: Isolation,alien-isolation,Adventure,PS4,Sega,Creative Assembly,2014,1.09,0.29,0.59,0.05
2200,Skate 2,skate-2,Sports,X360,Electronic Arts,EA Black Box,2009,1.09,0.82,0.17,0.01
2204,Dante's Inferno,dantes-inferno,Action,PS3,Electronic Arts,Visceral Games,2010,1.08,0.64,0.28,0.04
2206,Virtua Fighter 5,virtua-fighter-5,Fighting,PS3,Sega,Sega-AM2,2007,1.08,0.29,0.52,0.08
2207,Pro Evolution Soccer 2014,pro-evolution-soccer-2014,Sports,PS3,Konami Digital Entertainment,Konami,2013,1.08,0.03,0.46,0.51
2215,Grand Theft Auto: Chinatown Wars,grand-theft-auto-chinatown-wars,Adventure,PSP,Rockstar Games,Rockstar Leeds,2009,1.08,0.28,0.5,0.03
