Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
229,Madden NFL 2004,madden-nfl-2004,Sports,E,PS2,EA Sports,EA Tiburon,5.23,4.26,0.26,0.01,2003
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,XOne,Activision,Sledgehammer Games,5.22,3.25,1.49,0.01,2014
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,T,PS2,Electronic Arts,EA Los Angeles,5.13,1.98,2.23,0.13,2003
239,Battlefield 1,battlefield-1,Shooter,M,XOne,Electronic Arts,EA DICE,5.13,3.37,1.26,0.02,2016
243,FIFA 13,fifa-13,Sports,E,X360,EA Sports,EA Canada,5.11,1.1,3.49,0.03,2012
244,Resident Evil 5,resident-evil-5,Action,M,PS3,Capcom,Capcom,5.1,1.96,1.42,1.08,2009
245,Fable III,fable-iii,Role-Playing,M,X360,Microsoft Game Studios,Lionhead Studios,5.1,3.59,1.09,0.05,2010
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,E,DS,Sega,Sega,5.1,1.63,2.46,0.44,2008
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,5.08,1.7,2.03,0.16,2006
248,FIFA Soccer 11,fifa-soccer-11,Sports,E,PS3,EA Sports,EA Canada,5.08,0.61,3.28,0.06,2010
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,PS4,Square Enix,Square Enix,5.07,1.81,1.53,1.05,2016
251,Fallout 4,fallout-4,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Game Studios,5.03,2.94,1.62,0.02,2015
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,T,PS,Activision,Neversoft Entertainment,5.02,3.42,1.38,0.02,1999
254,Spyro the Dragon,spyro-the-dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,5.0,3.36,1.36,0.07,1998
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,PS2,RedOctane,BudCat Creations,4.98,3.49,0.01,0.01,2007
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,4.97,2.32,1.73,0.12,2007
264,Fallout 3,fallout-3,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,4.96,3.41,0.99,0.09,2008
266,Madden NFL 06,madden-nfl-06,Sports,E,PS2,EA Sports,EA Tiburon,4.91,3.98,0.26,0.01,2005
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,PS4,Activision,Vicarious Visions,4.83,1.09,2.92,0.07,2017
275,Assassin's Creed,assassins-creed,Action,M,PS3,Ubisoft,Ubisoft Montreal,4.83,1.91,2.01,0.09,2007
277,Crash Team Racing,crash-team-racing,Racing,E,PS,Sony Computer Entertainment,Naughty Dog,4.79,2.57,1.57,0.44,1999
280,Batman: Arkham City,batman-arkham-city,Action,T,X360,Warner Bros. Interactive,Rocksteady Studios,4.75,2.99,1.28,0.04,2011
281,Driver 2,driver-2,Action,T,PS,Atari,Reflections Interactive,4.73,2.36,2.1,0.02,2000
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,T,PS,Activision,Neversoft Entertainment,4.68,3.05,1.41,0.02,2000
285,Monster Hunter: World,monster-hunter-world,Action,T,PS4,Capcom,Capcom,4.67,1.03,1.06,2.17,2018
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,T,PS2,Electronic Arts,Stormfront Studios,4.67,1.94,1.95,0.08,2002
288,Tomb Raider,tomb-raider,Action,T,PS,Eidos Interactive,Core Design Ltd.,4.63,2.29,1.97,0.13,1996
291,Forza Motorsport 4,forza-motorsport-4,Racing,E,X360,Microsoft Studios,Turn 10 Studio,4.6,2.08,1.98,0.06,2011
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,Wii,RedOctane,Vicarious Visions,4.6,3.04,1.12,0.0,2007
293,"Pokemon: Let's Go, Pikachu!"," pikachu""",Role-Playing,E,NS,Nintendo,Game Freak,4.57,2.16,1.24,0.82,2018
296,FIFA 15,fifa-15,Sports,E,PS3,EA Sports,EA Canada,4.56,0.59,3.25,0.04,2014
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,Wii,Sega,Sega,4.54,1.87,1.97,0.22,2009
298,Overwatch,overwatch,Shooter,T,PS4,Blizzard Entertainment,Blizzard Entertainment,4.54,1.84,1.8,0.17,2016
299,Madden NFL 2005,madden-nfl-2005,Sports,E,PS2,EA Sports,EA Tiburon,4.53,4.18,0.26,0.01,2004
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,X360,RedOctane,Neversoft,4.53,3.19,0.91,0.01,2007
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,T,PS4,Electronic Arts,EA DICE,4.53,1.7,1.99,0.12,2017
310,Madden NFL 07,madden-nfl-07,Sports,E,PS2,EA Sports,EA Tiburon,4.49,3.63,0.24,0.01,2006
311,Spider-Man: The Movie,spider-man-the-movie,Action,E,PS2,Activision,Treyarch,4.48,2.71,1.51,0.03,2002
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,X360,Take-Two Interactive,Bethesda Softworks,4.47,2.89,1.03,0.13,2009
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,T,PS2,Activision,Neversoft Entertainment,4.41,2.66,1.29,0.01,2001
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,4.39,0.1,2.39,1.05,2007
318,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,E10,Wii,Ubisoft,Ubisoft Montpellier,4.37,2.64,1.33,0.01,2010
319,Tom Clancy's The Division,tom-clancys-the-division,Shooter,M,PS4,Ubisoft,Massive Entertainment,4.37,1.49,2.04,0.16,2016
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,PS2,Electronic Arts,EA Canada,4.37,2.03,1.79,0.08,2005
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,4.37,1.74,1.72,0.14,2006
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,X360,Activision,High Moon Studios,4.34,2.81,1.13,0.0,2014
324,Watch Dogs,watch-dogs,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,4.32,1.4,2.13,0.11,2014
330,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,PS3,Eidos Interactive,Rocksteady Studios,4.28,2.26,1.33,0.07,2009
331,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,PS3,Activision,High Moon Studios,4.27,1.59,1.81,0.2,2014
333,Namco Museum,namco-museum,Misc,E,GBA,Namco,Mass Media,4.24,3.0,1.11,0.05,2001
336,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,PS3,Ubisoft,Ubisoft Montreal,4.23,1.41,2.03,0.1,2011
337,Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,Action,M,PS2,Konami,KCEJ / Kojima Productions,4.23,1.46,0.0,0.83,2004
338,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,X360,Ubisoft,Ubisoft Montreal,4.22,2.28,1.47,0.04,2011
339,FIFA Soccer 06,fifa-soccer-06,Sports,E,PS2,EA Sports,EA Canada,4.21,0.78,2.55,0.04,2005
341,Street Fighter IV,street-fighter-iv,Fighting,T,PS3,Capcom,Capcom / Dimps Corporation,4.19,2.04,1.05,0.59,2009
343,FIFA Soccer 12,fifa-soccer-12,Sports,E,X360,EA Sports,EA Canada,4.18,0.85,2.79,0.02,2011
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,PS4,Activision,Infinity Ward,4.17,1.79,1.64,0.05,2013
349,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,XOne,Electronic Arts,EA DICE,4.15,2.49,1.26,0.02,2015
350,FIFA 14,fifa-14,Sports,E,X360,EA Sports,EA Canada,4.15,0.94,2.92,0.01,2013
351,Madden NFL 2003,madden-nfl-2003,Sports,E,PS2,EA Sports,EA Tiburon,4.14,3.36,0.21,0.01,2002
352,Assassin's Creed: Unity,assassins-creed-unity,Action,M,PS4,Ubisoft,Ubisoft Montreal,4.14,1.25,2.16,0.09,2014
353,Destiny 2,destiny-2,Shooter,T,PS4,Activision,Bungie,4.14,1.92,1.44,0.1,2017
354,Half-Life,half-life,Shooter,M,PC,Sierra Entertainment,Valve Software,4.12,4.03,0.0,0.09,1998
356,Batman: Arkham Knight,batman-arkham-knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,4.11,1.65,1.68,0.11,2015
357,FIFA 07 Soccer,fifa-07-soccer,Sports,E,PS2,EA Sports,Team Fusion,4.11,0.71,2.48,0.03,2006
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,X360,Bethesda Softworks,Obsidian Entertainment,4.08,2.67,1.03,0.04,2010
362,Assassin's Creed Origins,assassins-creed-origins,Action,M,PS4,Ubisoft,Ubisoft Montreal,4.06,1.22,2.11,0.11,2017
363,Far Cry 4,far-cry-4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,4.06,1.18,2.14,0.11,2014
364,Carnival Games,carnival-games,Misc,E,Wii,Global Star Software,Cat Daddy Games,4.06,2.12,1.47,0.05,2007
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,4.06,0.12,2.26,0.9,2006
366,Forza Motorsport 2,forza-motorsport-2,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,4.05,2.35,1.27,0.03,2007
367,Namco Museum Vol.3,namco-museum-vol3,Misc,E,PS,Namco,Namco,4.05,2.28,1.55,0.16,1997
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,T,PS2,Namco,Namco,4.05,1.68,1.51,0.51,2000
377,Fallout 3,fallout-3,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,4.0,2.18,1.15,0.07,2008
381,NBA 2K16,nba-2k16,Sports,E10,PS4,2K Sports,Visual Concepts,3.98,2.56,0.66,0.05,2015
382,Left 4 Dead 2,left-4-dead-2,Shooter,M,X360,Electronic Arts,Certain Affinity / Valve Software,3.97,2.67,0.88,0.05,2009
383,Far Cry 5,far-cry-5,Action,M,PS4,Ubisoft,Ubisoft,3.95,1.44,1.73,0.15,2018
384,Battlefield 4,battlefield-4,Shooter,M,PS4,Electronic Arts,EA DICE,3.94,1.4,1.74,0.19,2013
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,3.94,1.34,1.86,0.13,2013
386,EA Sports Active,ea-sports-active,Sports,E,Wii,EA Sports,EA Vancouver,3.93,2.11,1.35,0.06,2009
391,Tony Hawk's Underground,tony-hawks-underground,Sports,T,PS2,Activision,Neversoft Entertainment,3.9,2.29,1.17,0.01,2003
394,Sports Champions,sports-champions,Sports,E10,PS3,Sony Computer Entertainment,SCE San Diego Studio,3.88,2.15,1.13,0.1,2010
395,MotorStorm,motorstorm,Racing,T,PS3,Sony Computer Entertainment,Evolution Studios,3.87,1.53,1.61,0.06,2007
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,3.85,0.16,1.89,1.12,2005
397,Namco Museum Vol.1,namco-museum-vol1,Misc,E,PS,Namco,Namco,3.84,2.12,1.44,0.22,1996
401,Gran Turismo Sport,gran-turismo-sport,Racing,E,PS4,Sony Interactive Entertainment,Polyphony Digital,3.77,0.63,2.35,0.24,2017
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,E10,PSP,Sony Computer Entertainment,High Impact Games,3.75,1.4,1.4,0.1,2007
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,E,PS,Electronic Arts,Argonaut Games,3.73,1.37,2.0,0.14,2001
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,E,PS2,EA Sports,EA Canada,3.7,0.58,2.48,0.04,2004
414,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,T,PS2,Activision,Neversoft Entertainment,3.67,2.13,1.18,0.01,2002
416,MySims,mysims,Simulation,E,DS,Electronic Arts,EA Redwood Shores,3.66,1.58,1.6,0.08,2007
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,M,PS2,Sony Computer Entertainment,Zipper Interactive,3.65,2.53,0.81,0.06,2002
419,Battlefield 4,battlefield-4,Shooter,M,PS3,Electronic Arts,EA DICE,3.64,1.31,1.5,0.27,2013
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,E,PS2,Sony Computer Entertainment,Naughty Dog,3.64,2.08,1.09,0.15,2001
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,PS2,Konami,Konami,3.63,0.05,0.0,0.64,2008
423,FIFA Soccer 10,fifa-soccer-10,Sports,E,PS3,EA Sports,EA Canada,3.63,0.6,2.46,0.05,2009
426,Star Wars Battlefront,star-wars-battlefront,Shooter,T,PS2,LucasArts,Pandemic Studios,3.61,1.93,1.22,0.03,2004
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,M,PS4,Ubisoft,Ubisoft Quebec,3.6,0.9,2.06,0.08,2015
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,T,PS2,LucasArts,Pandemic Studios,3.59,2.18,1.02,0.03,2005
432,Assassin's Creed: Unity,assassins-creed-unity,Action,M,XOne,Ubisoft,Ubisoft Montreal,3.58,2.34,0.9,0.0,2014
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,E,DS,Majesco,Office Create,3.58,1.6,1.49,0.1,2007
435,WWF SmackDown!,wwf-smackdown,Fighting,T,PS,THQ,Yuke's,3.58,2.01,1.35,0.06,2000
437,Battlefield 4,battlefield-4,Shooter,M,X360,Electronic Arts,EA DICE,3.54,2.16,1.05,0.02,2013
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,PS2,Rockstar Games,Rockstar Leeds,3.54,1.56,1.4,0.07,2006
439,The Getaway,the-getaway,Action,M,PS2,Sony Computer Entertainment,Team Soho,3.54,1.23,1.77,0.05,2003
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,3.54,1.66,1.58,0.12,1998
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,X360,Eidos Interactive,Rocksteady Studios,3.54,2.24,0.95,0.02,2009
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,M,X360,Ubisoft,Ubisoft Montreal,3.53,2.87,0.39,0.03,2010
443,James Bond 007: Agent Under Fire,james-bond-007-agent-under-fire,Shooter,T,PS2,Electronic Arts,EA Redwood Shores,3.53,1.9,1.13,0.1,2001
444,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,E,PS2,Eidos Interactive,Traveller's Tales,3.53,1.98,1.14,0.01,2005
445,Resident Evil 5,resident-evil-5,Action,M,X360,Capcom,Capcom,3.53,2.13,0.93,0.12,2009
447,NBA 2K17,nba-2k17,Sports,E,PS4,2K Sports,Visual Concepts,3.52,2.28,0.59,0.03,2016
448,FIFA Soccer 11,fifa-soccer-11,Sports,E,X360,EA Sports,EA Canada,3.52,0.71,2.39,0.02,2010
449,Spyro 2: Ripto's Rage!,spyro-2-riptos-rage,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,3.52,2.14,1.21,0.01,1999
450,Left 4 Dead,left-4-dead,Shooter,M,X360,Valve Corporation,Certain Affinity / Valve Software,3.52,2.66,0.49,0.05,2008
456,FIFA Soccer 2004,fifa-soccer-2004,Sports,E,PS2,EA Sports,EA Canada,3.49,0.59,2.36,0.04,2003
459,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,M,X360,Electronic Arts,EA Digital Illusions CE,3.48,2.11,1.01,0.04,2010
460,Borderlands,borderlands,Shooter,M,X360,2K Games,Gearbox Software,3.48,2.43,0.72,0.03,2009
461,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,DS,Sega,Sega,3.47,1.21,1.63,0.27,2009
463,Guitar Hero: On Tour,guitar-hero-on-tour,Misc,E10,DS,Activision,Vicarious Visions,3.46,2.1,1.01,0.01,2008
465,Halo: The Master Chief Collection,halo-the-master-chief-collection,Shooter,M,XOne,Microsoft Studios,343 Industries,3.44,2.06,1.04,0.03,2014
