Rank,Name,basename,Genre,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,PS2,Activision,Neversoft Entertainment,9.1,4.41,2.66,1.29,0.01,2001
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,2.39,1.05,2007
318,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,Wii,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,1.33,0.01,2010
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,PS2,Electronic Arts,EA Canada,8.6,4.37,2.03,1.79,0.08,2005
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,PS3,Sony Computer Entertainment,Insomniac Games,8.5,4.37,1.74,1.72,0.14,2006
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,X360,Activision,High Moon Studios,9.1,4.34,2.81,1.13,0.0,2014
330,Batman: Arkham Asylum,batman-arkham-asylum,Action,PS3,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,1.33,0.07,2009
331,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,PS3,Activision,High Moon Studios,9.1,4.27,1.59,1.81,0.2,2014
336,Assassin's Creed: Revelations,assassins-creed-revelations,Action,PS3,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,2.03,0.1,2011
337,Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,Action,PS2,Konami,KCEJ / Kojima Productions,9.0,4.23,1.46,0.0,0.83,2004
338,Assassin's Creed: Revelations,assassins-creed-revelations,Action,X360,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,1.47,0.04,2011
339,FIFA Soccer 06,fifa-soccer-06,Sports,PS2,EA Sports,EA Canada,8.4,4.21,0.78,2.55,0.04,2005
341,Street Fighter IV,street-fighter-iv,Fighting,PS3,Capcom,Capcom / Dimps Corporation,9.3,4.19,2.04,1.05,0.59,2009
343,FIFA Soccer 12,fifa-soccer-12,Sports,X360,EA Sports,EA Canada,9.2,4.18,0.85,2.79,0.02,2011
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,PS4,Activision,Infinity Ward,7.5,4.17,1.79,1.64,0.05,2013
345,Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,Platform,NES,Ultra Games,Konami,5.9,4.17,3.38,0.44,0.31,1989
349,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,XOne,Electronic Arts,EA DICE,6.9,4.15,2.49,1.26,0.02,2015
351,Madden NFL 2003,madden-nfl-2003,Sports,PS2,EA Sports,EA Tiburon,9.4,4.14,3.36,0.21,0.01,2002
354,Half-Life,half-life,Shooter,PC,Sierra Entertainment,Valve Software,9.5,4.12,4.03,0.0,0.09,1998
356,Batman: Arkham Knight,batman-arkham-knight,Action,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,1.68,0.11,2015
357,FIFA 07 Soccer,fifa-07-soccer,Sports,PS2,EA Sports,Team Fusion,8.4,4.11,0.71,2.48,0.03,2006
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,X360,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,1.03,0.04,2010
363,Far Cry 4,far-cry-4,Shooter,PS4,Ubisoft,Ubisoft Montreal,8.4,4.06,1.18,2.14,0.11,2014
364,Carnival Games,carnival-games,Misc,Wii,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,1.47,0.05,2007
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,2.26,0.9,2006
366,Forza Motorsport 2,forza-motorsport-2,Racing,X360,Microsoft Game Studios,Turn 10 Studios,9.1,4.05,2.35,1.27,0.03,2007
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,PS2,Namco,Namco,8.7,4.05,1.68,1.51,0.51,2000
377,Fallout 3,fallout-3,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,4.0,2.18,1.15,0.07,2008
381,NBA 2K16,nba-2k16,Sports,PS4,2K Sports,Visual Concepts,8.7,3.98,2.56,0.66,0.05,2015
382,Left 4 Dead 2,left-4-dead-2,Shooter,X360,Electronic Arts,Certain Affinity / Valve Software,9.0,3.97,2.67,0.88,0.05,2009
383,Far Cry 5,far-cry-5,Action,PS4,Ubisoft,Ubisoft,7.9,3.95,1.44,1.73,0.15,2018
384,Battlefield 4,battlefield-4,Shooter,PS4,Electronic Arts,EA DICE,8.3,3.94,1.4,1.74,0.19,2013
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,8.7,3.94,1.34,1.86,0.13,2013
386,EA Sports Active,ea-sports-active,Sports,Wii,EA Sports,EA Vancouver,8.3,3.93,2.11,1.35,0.06,2009
391,Tony Hawk's Underground,tony-hawks-underground,Sports,PS2,Activision,Neversoft Entertainment,8.7,3.9,2.29,1.17,0.01,2003
394,Sports Champions,sports-champions,Sports,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.6,3.88,2.15,1.13,0.1,2010
395,MotorStorm,motorstorm,Racing,PS3,Sony Computer Entertainment,Evolution Studios,8.2,3.87,1.53,1.61,0.06,2007
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.89,1.12,2005
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,PSP,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,1.4,0.1,2007
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,PS,Electronic Arts,Argonaut Games,8.0,3.73,1.37,2.0,0.14,2001
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,PS2,EA Sports,EA Canada,8.4,3.7,0.58,2.48,0.04,2004
414,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,PS2,Activision,Neversoft Entertainment,9.6,3.67,2.13,1.18,0.01,2002
416,MySims,mysims,Simulation,DS,Electronic Arts,EA Redwood Shores,6.7,3.66,1.58,1.6,0.08,2007
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,PS2,Sony Computer Entertainment,Zipper Interactive,8.0,3.65,2.53,0.81,0.06,2002
419,Battlefield 4,battlefield-4,Shooter,PS3,Electronic Arts,EA DICE,8.7,3.64,1.31,1.5,0.27,2013
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,PS2,Sony Computer Entertainment,Naughty Dog,9.0,3.64,2.08,1.09,0.15,2001
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,PS2,Konami,Konami,8.2,3.63,0.05,0.0,0.64,2008
423,FIFA Soccer 10,fifa-soccer-10,Sports,PS3,EA Sports,EA Canada,9.0,3.63,0.6,2.46,0.05,2009
426,Star Wars Battlefront,star-wars-battlefront,Shooter,PS2,LucasArts,Pandemic Studios,8.1,3.61,1.93,1.22,0.03,2004
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,PS4,Ubisoft,Ubisoft Quebec,8.6,3.6,0.9,2.06,0.08,2015
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,PS2,LucasArts,Pandemic Studios,8.5,3.59,2.18,1.02,0.03,2005
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,DS,Majesco,Office Create,6.9,3.58,1.6,1.49,0.1,2007
437,Battlefield 4,battlefield-4,Shooter,X360,Electronic Arts,EA DICE,8.7,3.54,2.16,1.05,0.02,2013
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,PS2,Rockstar Games,Rockstar Leeds,8.3,3.54,1.56,1.4,0.07,2006
439,The Getaway,the-getaway,Action,PS2,Sony Computer Entertainment,Team Soho,7.7,3.54,1.23,1.77,0.05,2003
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,PS,Eidos Interactive,Core Design Ltd.,8.2,3.54,1.66,1.58,0.12,1998
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,X360,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.95,0.02,2009
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,X360,Ubisoft,Ubisoft Montreal,9.1,3.53,2.87,0.39,0.03,2010
444,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,PS2,Eidos Interactive,Traveller's Tales,7.9,3.53,1.98,1.14,0.01,2005
445,Resident Evil 5,resident-evil-5,Action,X360,Capcom,Capcom,8.6,3.53,2.13,0.93,0.12,2009
447,NBA 2K17,nba-2k17,Sports,PS4,2K Sports,Visual Concepts,9.0,3.52,2.28,0.59,0.03,2016
448,FIFA Soccer 11,fifa-soccer-11,Sports,X360,EA Sports,EA Canada,8.7,3.52,0.71,2.39,0.02,2010
449,Spyro 2: Ripto's Rage!,spyro-2-riptos-rage,Platform,PS,Sony Computer Entertainment,Insomniac Games,8.7,3.52,2.14,1.21,0.01,1999
450,Left 4 Dead,left-4-dead,Shooter,X360,Valve Corporation,Certain Affinity / Valve Software,8.7,3.52,2.66,0.49,0.05,2008
456,FIFA Soccer 2004,fifa-soccer-2004,Sports,PS2,EA Sports,EA Canada,8.0,3.49,0.59,2.36,0.04,2003
459,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,X360,Electronic Arts,EA Digital Illusions CE,9.0,3.48,2.11,1.01,0.04,2010
460,Borderlands,borderlands,Shooter,X360,2K Games,Gearbox Software,8.3,3.48,2.43,0.72,0.03,2009
461,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,DS,Sega,Sega,7.6,3.47,1.21,1.63,0.27,2009
463,Guitar Hero: On Tour,guitar-hero-on-tour,Misc,DS,Activision,Vicarious Visions,7.1,3.46,2.1,1.01,0.01,2008
467,Tekken 4,tekken-4,Fighting,PS2,Namco,Namco,7.9,3.44,1.55,1.27,0.33,2002
469,LittleBigPlanet 2,littlebigplanet-2,Platform,PS3,Sony Computer Entertainment,Media Molecule,9.1,3.43,1.83,1.07,0.06,2011
472,Spider-Man 2,spider-man-2,Action,PS2,Activision,Treyarch,7.9,3.41,1.75,1.2,0.02,2004
476,Crash Bash,crash-bash,Misc,PS,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,3.39,1.56,1.47,0.19,2000
479,The Elder Scrolls V: Skyrim Special Edition,the-elder-scrolls-v-skyrim-special-edition,Role-Playing,PS4,Bethesda Softworks,Bethesda Softworks,8.3,3.36,1.24,1.5,0.08,2016
484,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,X360,Ubisoft,Ubisoft Montreal,8.5,3.34,1.9,1.14,0.01,2013
485,NBA 2K18,nba-2k18,Sports,PS4,2K Sports,Visual Concepts,8.1,3.34,2.13,0.57,0.04,2017
493,Max Payne,max-payne,Shooter,PS2,Rockstar Games,Remedy Entertainment,8.1,3.31,1.99,1.05,0.05,2001
499,The Lord of the Rings: The Return of the King,the-lord-of-the-rings-the-return-of-the-king,Action,PS2,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,3.28,1.5,1.28,0.05,2003
507,Tekken,tekken,Fighting,PS,Namco,Namco,8.3,3.24,0.95,1.3,0.77,1995
510,L.A. Noire,la-noire,Adventure,PS3,Rockstar Games,Team Bondi,9.1,3.21,1.29,1.31,0.12,2011
515,WWF SmackDown! 2: Know Your Role,wwf-smackdown-2-know-your-role,Fighting,PS,THQ,Yuke's,8.7,3.2,1.76,1.21,0.07,2000
517,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal,8.3,3.19,1.07,1.55,0.06,2013
520,Assassin's Creed Odyssey,assassins-creed-odyssey,Action-Adventure,PS4,Ubisoft,Ubisoft Quebec,9.5,3.18,1.18,1.4,0.09,2018
521,Fallout: New Vegas,fallout-new-vegas,Role-Playing,PS3,Bethesda Softworks,Obsidian Entertainment,8.2,3.17,1.54,1.04,0.1,2010
522,Ace Combat 04: Shattered Skies,ace-combat-04-shattered-skies,Simulation,PS2,Namco,Namco,8.9,3.17,2.06,0.56,0.38,2001
529,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,PS3,Bethesda Softworks,4J Studios,9.3,3.12,1.69,0.86,0.14,2007
534,Tom Clancy's Ghost Recon Wildlands,tom-clancys-ghost-recon-wildlands,Shooter,PS4,Ubisoft,Ubisoft Paris,7.0,3.12,1.07,1.35,0.22,2017
535,NBA 2K13,nba-2k13,Sports,X360,2K Sports,Visual Concepts,8.6,3.11,2.62,0.21,0.01,2012
538,Mass Effect 2,mass-effect-2,Role-Playing,X360,Electronic Arts,BioWare Edmonton,9.5,3.1,1.99,0.81,0.03,2010
542,Saints Row 2,saints-row-2,Action,X360,THQ,Volition Inc.,7.9,3.07,1.98,0.79,0.02,2008
546,Heavy Rain,heavy-rain,Adventure,PS3,Sony Computer Entertainment,Quantic Dream,8.8,3.06,1.29,1.24,0.06,2010
559,Disney Epic Mickey,disney-epic-mickey,Platform,Wii,Disney Interactive Studios,Junction Point Studios,7.0,3.02,2.04,0.63,0.12,2010
560,Killzone 2,killzone-2,Shooter,PS3,Sony Computer Entertainment,Guerrilla Games,9.1,3.02,1.4,1.07,0.08,2009
